date,infl,realgdp,unemp
1985-09-30,2.96,6903.523,7.2
1985-12-31,5.13,6955.918000000001,7.0
1986-03-31,-4.39,7022.757,7.0
1986-06-30,2.93,7050.969,7.2
1986-09-30,2.55,7118.95,7.0
1986-12-31,4.33,7153.359,6.8
1987-03-31,4.64,7193.019,6.6
1987-06-30,3.89,7269.51,6.3
1987-09-30,4.2,7332.558000000001,6.0
1987-12-31,3.46,7458.022,5.9
1988-03-31,4.12,7496.6,5.7
1988-06-30,4.41,7592.880999999999,5.5
1988-09-30,4.7,7632.081999999999,5.5
1988-12-31,4.31,7733.991,5.3
1989-03-31,6.22,7806.603,5.2
1989-06-30,4.52,7865.016,5.2
1989-09-30,2.88,7927.393,5.3
1989-12-31,6.64,7944.696999999999,5.4
1990-03-31,4.37,8027.693,5.3
1990-06-30,4.93,8059.598000000001,5.3
1990-09-30,8.79,8059.476,5.7
1990-12-31,3.88,7988.864,6.1
1991-03-31,1.19,7950.164000000001,6.6
1991-06-30,3.24,8003.821999999999,6.8
1991-09-30,2.93,8037.538,6.9
1991-12-31,3.19,8069.045999999999,7.1
1992-03-31,3.17,8157.616,7.4
1992-06-30,3.14,8244.294,7.6
1992-09-30,3.4,8329.360999999999,7.6
1992-12-31,3.09,8417.016,7.4
1993-03-31,2.79,8432.485,7.2
1993-06-30,1.94,8486.435,7.1
1993-09-30,3.03,8531.108,6.8
1993-12-31,1.92,8643.769,6.6
1994-03-31,2.45,8727.919,6.6
1994-06-30,3.25,8847.303,6.2
1994-09-30,2.69,8904.289,6.0
1994-12-31,2.93,9003.18,5.6
1995-03-31,3.44,9025.267,5.5
1995-06-30,2.1,9044.668,5.7
1995-09-30,2.35,9120.684,5.7
1995-12-31,3.11,9184.275,5.6
1996-03-31,3.6,9247.188,5.5
1996-06-30,2.3,9407.052,5.5
1996-09-30,3.05,9488.879,5.3
1996-12-31,3.02,9592.458,5.3
1997-03-31,1.25,9666.235,5.2
1997-06-30,1.25,9809.551,5.0
1997-09-30,2.73,9932.672,4.9
1997-12-31,1.24,10008.874,4.7
1998-03-31,0.49,10103.425,4.6
1998-06-30,2.46,10194.277,4.4
1998-09-30,1.71,10328.787,4.5
1998-12-31,1.95,10507.575,4.4
1999-03-31,2.9,10601.178999999998,4.3
1999-06-30,1.92,10684.049,4.3
1999-09-30,3.35,10819.914,4.2
1999-12-31,2.85,11014.254,4.1
2000-03-31,3.76,11043.044,4.0
2000-06-30,4.19,11258.454,3.9
2000-09-30,2.77,11267.867,4.0
2000-12-31,3.89,11334.544,3.9
2001-03-31,1.82,11297.171,4.2
2001-06-30,2.26,11371.251,4.4
2001-09-30,0.45,11340.075,4.8
2001-12-31,0.23,11380.128,5.5
2002-03-31,3.59,11477.868,5.7
2002-06-30,1.56,11538.77,5.8
2002-09-30,2.66,11596.43,5.7
2002-12-31,3.08,11598.824,5.8
2003-03-31,1.31,11645.819,5.9
2003-06-30,1.09,11738.706,6.2
2003-09-30,2.6,11935.461,6.1
2003-12-31,3.02,12042.817,5.8
2004-03-31,2.35,12127.623,5.7
2004-06-30,3.61,12213.818,5.6
2004-09-30,3.58,12303.533,5.4
2004-12-31,2.09,12410.282,5.4
2005-03-31,4.15,12534.113,5.3
2005-06-30,1.85,12587.535,5.1
2005-09-30,9.14,12683.153,5.0
2005-12-31,0.4,12748.699,4.9
2006-03-31,2.6,12915.938,4.7
2006-06-30,3.97,12962.462,4.7
2006-09-30,-1.58,12965.916,4.7
2006-12-31,3.3,13060.678999999998,4.4
2007-03-31,4.58,13099.901000000002,4.5
2007-06-30,2.75,13203.977,4.5
2007-09-30,3.45,13321.109,4.7
2007-12-31,6.38,13391.249,4.8
2008-03-31,2.82,13366.865,4.9
2008-06-30,8.53,13415.266,5.4
2008-09-30,-3.16,13324.6,6.0
2008-12-31,-8.79,13141.92,6.9
2009-03-31,0.94,12925.41,8.1
2009-06-30,3.37,12901.504,9.2
2009-09-30,3.56,12990.341,9.6
